6.5268 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
8.0016 	EXP 	Created expInstruction = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=360, italic=False, name='expInstruction', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
8.0233 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=180, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Any text\n\nincluding line breaks', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
8.0551 	EXP 	Created image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace=u'rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image=UNKNOWN, interpolate=False, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
8.2901 	EXP 	Set  sound=A
8.2902 	EXP 	Set Sound  volume=1.000
8.3867 	EXP 	Set  sound=I_Believe_I_Can_Fly_sample.ogg
8.3868 	EXP 	Set Sound  volume=1.000
8.4746 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=300, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
8.4861 	EXP 	TextStim: autoLog = None
8.4861 	EXP 	TextStim: autoLog = None
8.4861 	EXP 	ImageStim: autoLog = None
8.4861 	EXP 	TextStim: autoLog = None
8.4861 	EXP 	TextStim: autoDraw = None
9.8587 	DATA 	Keypress: space
9.8704 	EXP 	TextStim: autoDraw = None
9.8704 	EXP 	TextStim: autoDraw = None
10.2396 	DATA 	Keypress: space
10.3871 	EXP 	TextStim: autoDraw = None
10.3871 	EXP 	ImageStim: autoDraw = None
10.7381 	DATA 	Keypress: space
12.2478 	DATA 	Keypress: space
13.3631 	EXP 	Sound  started
13.3793 	EXP 	ImageStim: autoDraw = None
13.3793 	EXP 	ImageStim: autoDraw = None
14.3407 	EXP 	Sound  stopped
14.3741 	EXP 	Sound  started
19.3403 	EXP 	Sound  stopped
19.3573 	EXP 	TextStim: autoDraw = None
