number,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
3,0,0,0,2,space,10.7553447085,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
4,0,1,1,3,space,0.514489662222,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
5,0,2,2,4,space,0.523237901769,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
2,0,3,3,1,space,0.502087546658,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
1,0,4,4,0,space,0.506405439228,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
6,0,5,5,5,space,0.0172336392279,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
7,0,6,6,6,space,0.0207201723533,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
8,0,7,7,7,space,0.513106740633,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
9,0,8,8,8,space,0.510281100345,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
9,1,0,9,8,space,0.509756313055,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
5,1,1,10,4,space,0.515249175776,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
2,1,2,11,1,space,0.516637452325,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
6,1,3,12,5,space,0.509726860735,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
1,1,4,13,0,space,0.510064670234,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
8,1,5,14,7,space,0.515860981366,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
7,1,6,15,6,space,0.504878825916,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
4,1,7,16,3,space,0.512013880099,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
3,1,8,17,2,space,0.528068086685,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
5,2,0,18,4,space,0.507688847574,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
7,2,1,19,6,space,0.512019235059,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
9,2,2,20,8,space,0.51550755318,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
6,2,3,21,5,space,0.51319956017,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
4,2,4,22,3,space,0.514320088085,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
3,2,5,23,2,space,0.515023820713,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
8,2,6,24,7,space,0.511292743817,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
2,2,7,25,1,space,0.51719392318,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
1,2,8,26,0,space,0.520261875994,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
2,3,0,27,1,space,0.524701147922,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
6,3,1,28,5,space,0.513818505715,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
4,3,2,29,3,space,0.516111326317,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
7,3,3,30,6,space,0.510696110694,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
1,3,4,31,0,space,0.517757533991,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
8,3,5,32,7,space,0.513457491354,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
3,3,6,33,2,space,0.513321385777,2014_Sep_16_2238,50.2736560613,NBackTask,001,1,
