8.8475 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
10.4204 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=41, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
10.4209 	EXP 	Imported datasource.csv as conditions, 9 conditions, 1 params
10.4215 	EXP 	Created sequence: random, trialTypes=9, nReps=5, seed=None
10.4223 	EXP 	New trial (rep=0, index=0): {'number': 3}
10.4559 	EXP 	TextStim: autoLog = None
10.4559 	EXP 	Set text text=3
10.4559 	EXP 	TextStim: autoDraw = None
11.4404 	EXP 	TextStim: autoDraw = None
21.1911 	DATA 	Keypress: space
21.1948 	EXP 	New trial (rep=0, index=1): {'number': 4}
21.2210 	EXP 	TextStim: autoDraw = None
21.2210 	EXP 	Set text text=4
21.2210 	EXP 	TextStim: autoDraw = None
21.7045 	DATA 	Keypress: space
21.7256 	EXP 	New trial (rep=0, index=2): {'number': 5}
21.7374 	EXP 	TextStim: autoDraw = None
21.7374 	EXP 	Set text text=5
21.7374 	EXP 	TextStim: autoDraw = None
22.0379 	DATA 	Keypress: space
22.2603 	EXP 	New trial (rep=0, index=3): {'number': 2}
22.2916 	EXP 	TextStim: autoDraw = None
22.2916 	EXP 	Set text text=2
22.2916 	EXP 	TextStim: autoDraw = None
22.5723 	DATA 	Keypress: space
22.5744 	DATA 	Keypress: space
22.6459 	DATA 	Keypress: space
22.7771 	EXP 	New trial (rep=0, index=4): {'number': 1}
22.7915 	EXP 	TextStim: autoDraw = None
22.7915 	EXP 	Set text text=1
22.7915 	EXP 	TextStim: autoDraw = None
23.0882 	DATA 	Keypress: space
23.2941 	EXP 	New trial (rep=0, index=5): {'number': 6}
23.3134 	EXP 	TextStim: autoDraw = None
23.3134 	EXP 	Set text text=6
23.3134 	EXP 	TextStim: autoDraw = None
23.3164 	DATA 	Keypress: space
23.7987 	EXP 	New trial (rep=0, index=6): {'number': 7}
23.8332 	EXP 	TextStim: autoDraw = None
23.8332 	EXP 	Set text text=7
23.8332 	EXP 	TextStim: autoDraw = None
23.8343 	DATA 	Keypress: space
24.1668 	DATA 	Keypress: space
24.3131 	EXP 	New trial (rep=0, index=7): {'number': 8}
24.3333 	EXP 	TextStim: autoDraw = None
24.3333 	EXP 	Set text text=8
24.3333 	EXP 	TextStim: autoDraw = None
24.6224 	DATA 	Keypress: space
24.6308 	DATA 	Keypress: space
24.6476 	DATA 	Keypress: space
24.8368 	EXP 	New trial (rep=0, index=8): {'number': 9}
24.8544 	EXP 	TextStim: autoDraw = None
24.8544 	EXP 	Set text text=9
24.8544 	EXP 	TextStim: autoDraw = None
25.1502 	DATA 	Keypress: space
25.1522 	DATA 	Keypress: space
25.1586 	DATA 	Keypress: space
25.2957 	DATA 	Keypress: space
25.3577 	EXP 	New trial (rep=1, index=0): {'number': 9}
25.3757 	EXP 	TextStim: autoDraw = None
25.3757 	EXP 	Set text text=9
25.3757 	EXP 	TextStim: autoDraw = None
25.6657 	DATA 	Keypress: space
25.6672 	DATA 	Keypress: space
25.8769 	EXP 	New trial (rep=1, index=1): {'number': 5}
25.8944 	EXP 	TextStim: autoDraw = None
25.8944 	EXP 	Set text text=5
25.8944 	EXP 	TextStim: autoDraw = None
26.1813 	DATA 	Keypress: space
26.1963 	DATA 	Keypress: space
26.3573 	DATA 	Keypress: space
26.3961 	EXP 	New trial (rep=1, index=2): {'number': 2}
26.4147 	EXP 	TextStim: autoDraw = None
26.4147 	EXP 	Set text text=2
26.4147 	EXP 	TextStim: autoDraw = None
26.7010 	DATA 	Keypress: space
26.7019 	DATA 	Keypress: space
26.8063 	DATA 	Keypress: space
26.9181 	EXP 	New trial (rep=1, index=3): {'number': 6}
26.9321 	EXP 	TextStim: autoDraw = None
26.9321 	EXP 	Set text text=6
26.9321 	EXP 	TextStim: autoDraw = None
27.2263 	DATA 	Keypress: space
27.2711 	DATA 	Keypress: space
27.4159 	DATA 	Keypress: space
27.4379 	EXP 	New trial (rep=1, index=4): {'number': 1}
27.4517 	EXP 	TextStim: autoDraw = None
27.4517 	EXP 	Set text text=1
27.4517 	EXP 	TextStim: autoDraw = None
27.7469 	DATA 	Keypress: space
27.7508 	DATA 	Keypress: space
27.9582 	EXP 	New trial (rep=1, index=5): {'number': 8}
27.9755 	EXP 	TextStim: autoDraw = None
27.9755 	EXP 	Set text text=8
27.9755 	EXP 	TextStim: autoDraw = None
28.2615 	DATA 	Keypress: space
28.2637 	DATA 	Keypress: space
28.4100 	DATA 	Keypress: space
28.4795 	EXP 	New trial (rep=1, index=6): {'number': 7}
28.5103 	EXP 	TextStim: autoDraw = None
28.5103 	EXP 	Set text text=7
28.5103 	EXP 	TextStim: autoDraw = None
28.7919 	DATA 	Keypress: space
28.7939 	DATA 	Keypress: space
28.9107 	DATA 	Keypress: space
28.9979 	EXP 	New trial (rep=1, index=7): {'number': 4}
29.0305 	EXP 	TextStim: autoDraw = None
29.0305 	EXP 	Set text text=4
29.0305 	EXP 	TextStim: autoDraw = None
29.3057 	DATA 	Keypress: space
29.3071 	DATA 	Keypress: space
29.4170 	DATA 	Keypress: space
29.5191 	EXP 	New trial (rep=1, index=8): {'number': 3}
29.5331 	EXP 	TextStim: autoDraw = None
29.5331 	EXP 	Set text text=3
29.5331 	EXP 	TextStim: autoDraw = None
29.8325 	DATA 	Keypress: space
29.8334 	DATA 	Keypress: space
29.9657 	DATA 	Keypress: space
30.0561 	EXP 	New trial (rep=2, index=0): {'number': 5}
30.0880 	EXP 	TextStim: autoDraw = None
30.0880 	EXP 	Set text text=5
30.0880 	EXP 	TextStim: autoDraw = None
30.3682 	DATA 	Keypress: space
30.4754 	DATA 	Keypress: space
30.5750 	EXP 	New trial (rep=2, index=1): {'number': 7}
30.5923 	EXP 	TextStim: autoDraw = None
30.5923 	EXP 	Set text text=7
30.5923 	EXP 	TextStim: autoDraw = None
30.8846 	DATA 	Keypress: space
30.8862 	DATA 	Keypress: space
31.0942 	EXP 	New trial (rep=2, index=2): {'number': 9}
31.1125 	EXP 	TextStim: autoDraw = None
31.1125 	EXP 	Set text text=9
31.1125 	EXP 	TextStim: autoDraw = None
31.3992 	DATA 	Keypress: space
31.4273 	DATA 	Keypress: space
31.6140 	EXP 	New trial (rep=2, index=3): {'number': 6}
31.6335 	EXP 	TextStim: autoDraw = None
31.6335 	EXP 	Set text text=6
31.6335 	EXP 	TextStim: autoDraw = None
31.9279 	DATA 	Keypress: space
31.9766 	DATA 	Keypress: space
32.1346 	EXP 	New trial (rep=2, index=4): {'number': 4}
32.1527 	EXP 	TextStim: autoDraw = None
32.1527 	EXP 	Set text text=4
32.1527 	EXP 	TextStim: autoDraw = None
32.4450 	DATA 	Keypress: space
32.5458 	DATA 	Keypress: space
32.6549 	EXP 	New trial (rep=2, index=5): {'number': 3}
32.6739 	EXP 	TextStim: autoDraw = None
32.6739 	EXP 	Set text text=3
32.6739 	EXP 	TextStim: autoDraw = None
32.9644 	DATA 	Keypress: space
32.9664 	DATA 	Keypress: space
33.0860 	DATA 	Keypress: space
33.1762 	EXP 	New trial (rep=2, index=6): {'number': 8}
33.1941 	EXP 	TextStim: autoDraw = None
33.1941 	EXP 	Set text text=8
33.1941 	EXP 	TextStim: autoDraw = None
33.4928 	DATA 	Keypress: space
33.4974 	DATA 	Keypress: space
33.6940 	EXP 	New trial (rep=2, index=7): {'number': 2}
33.7130 	EXP 	TextStim: autoDraw = None
33.7130 	EXP 	Set text text=2
33.7130 	EXP 	TextStim: autoDraw = None
34.0036 	DATA 	Keypress: space
34.0959 	DATA 	Keypress: space
34.2150 	EXP 	New trial (rep=2, index=8): {'number': 1}
34.2338 	EXP 	TextStim: autoDraw = None
34.2338 	EXP 	Set text text=1
34.2338 	EXP 	TextStim: autoDraw = None
34.5252 	DATA 	Keypress: space
34.7074 	DATA 	Keypress: space
34.7433 	EXP 	New trial (rep=3, index=0): {'number': 2}
34.7721 	EXP 	TextStim: autoDraw = None
34.7721 	EXP 	Set text text=2
34.7721 	EXP 	TextStim: autoDraw = None
35.0559 	DATA 	Keypress: space
35.1464 	DATA 	Keypress: space
35.2776 	EXP 	New trial (rep=3, index=1): {'number': 6}
35.2967 	EXP 	TextStim: autoDraw = None
35.2967 	EXP 	Set text text=6
35.2967 	EXP 	TextStim: autoDraw = None
35.5857 	DATA 	Keypress: space
35.6162 	DATA 	Keypress: space
35.7976 	EXP 	New trial (rep=3, index=2): {'number': 4}
35.8163 	EXP 	TextStim: autoDraw = None
35.8163 	EXP 	Set text text=4
35.8163 	EXP 	TextStim: autoDraw = None
36.1054 	DATA 	Keypress: space
36.1079 	DATA 	Keypress: space
36.2860 	DATA 	Keypress: space
36.3191 	EXP 	New trial (rep=3, index=3): {'number': 7}
36.3357 	EXP 	TextStim: autoDraw = None
36.3357 	EXP 	Set text text=7
36.3357 	EXP 	TextStim: autoDraw = None
36.6307 	DATA 	Keypress: space
36.7162 	DATA 	Keypress: space
36.8371 	EXP 	New trial (rep=3, index=4): {'number': 1}
36.8552 	EXP 	TextStim: autoDraw = None
36.8552 	EXP 	Set text text=1
36.8552 	EXP 	TextStim: autoDraw = None
37.1463 	DATA 	Keypress: space
37.1489 	DATA 	Keypress: space
37.3359 	DATA 	Keypress: space
37.3585 	EXP 	New trial (rep=3, index=5): {'number': 8}
37.3767 	EXP 	TextStim: autoDraw = None
37.3767 	EXP 	Set text text=8
37.3767 	EXP 	TextStim: autoDraw = None
37.6693 	DATA 	Keypress: space
37.8173 	DATA 	Keypress: space
37.8803 	EXP 	New trial (rep=3, index=6): {'number': 3}
37.8968 	EXP 	TextStim: autoDraw = None
37.8968 	EXP 	Set text text=3
37.8968 	EXP 	TextStim: autoDraw = None
38.1971 	DATA 	Keypress: space
38.2461 	DATA 	Keypress: space
38.4023 	EXP 	New trial (rep=3, index=7): {'number': 5}
38.4327 	EXP 	TextStim: autoDraw = None
38.4327 	EXP 	Set text text=5
38.4327 	EXP 	TextStim: autoDraw = None
39.3582 	DATA 	Keypress: escape
