13.2345 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x111e095d0>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.2346 	EXP 	window1: recordFrameIntervals = False
13.4005 	EXP 	window1: recordFrameIntervals = True
13.5844 	EXP 	window1: recordFrameIntervals = False
13.7427 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
13.7446 	EXP 	Imported datasource.csv as conditions, 6 conditions, 1 params
13.7478 	EXP 	Created sequence: random, trialTypes=6, nReps=1, seed=None
13.7485 	EXP 	New trial (rep=0, index=0): {'number': 6}
13.7565 	EXP 	window1: recordFrameIntervals = False
13.7679 	EXP 	text: text = 6
13.7679 	EXP 	text: autoDraw = True
13.7685 	EXP 	window1: recordFrameIntervals = False
14.7539 	EXP 	text: autoDraw = False
23.6723 	DATA 	Keypress: space
23.6836 	EXP 	New trial (rep=0, index=1): {'number': 1}
23.7115 	EXP 	window1: recordFrameIntervals = False
23.7283 	EXP 	text: autoDraw = False
23.7283 	EXP 	text: text = 1
23.7283 	EXP 	text: autoDraw = True
23.7290 	EXP 	window1: recordFrameIntervals = False
24.6973 	EXP 	text: autoDraw = False
25.5583 	DATA 	Keypress: space
25.5598 	EXP 	New trial (rep=0, index=2): {'number': 2}
25.5646 	EXP 	window1: recordFrameIntervals = False
25.5834 	EXP 	text: autoDraw = False
25.5834 	EXP 	text: text = 2
25.5834 	EXP 	text: autoDraw = True
25.5841 	EXP 	window1: recordFrameIntervals = False
26.5693 	EXP 	text: autoDraw = False
27.0121 	DATA 	Keypress: space
27.0136 	EXP 	New trial (rep=0, index=3): {'number': 5}
27.0183 	EXP 	window1: recordFrameIntervals = False
27.0373 	EXP 	text: autoDraw = False
27.0373 	EXP 	text: text = 5
27.0373 	EXP 	text: autoDraw = True
27.0380 	EXP 	window1: recordFrameIntervals = False
28.0234 	EXP 	text: autoDraw = False
28.6999 	DATA 	Keypress: space
28.7014 	EXP 	New trial (rep=0, index=4): {'number': 4}
28.7062 	EXP 	window1: recordFrameIntervals = False
28.7250 	EXP 	text: autoDraw = False
28.7250 	EXP 	text: text = 4
28.7250 	EXP 	text: autoDraw = True
28.7256 	EXP 	window1: recordFrameIntervals = False
29.7112 	EXP 	text: autoDraw = False
30.2542 	DATA 	Keypress: space
30.2556 	EXP 	New trial (rep=0, index=5): {'number': 3}
30.2604 	EXP 	window1: recordFrameIntervals = False
30.2795 	EXP 	text: autoDraw = False
30.2795 	EXP 	text: text = 3
30.2795 	EXP 	text: autoDraw = True
30.2802 	EXP 	window1: recordFrameIntervals = False
31.2655 	EXP 	text: autoDraw = False
31.6076 	DATA 	Keypress: space
31.6245 	EXP 	window1: mouseVisible = True
