3.8503 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
4.6759 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=52, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'[ 0.75792877]', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
4.6768 	EXP 	Imported datasource.csv as conditions, 9 conditions, 1 params
4.6799 	EXP 	Created sequence: random, trialTypes=9, nReps=5, seed=None
4.6810 	EXP 	New trial (rep=0, index=0): {'NumberString': 2}
4.7120 	EXP 	TextStim: autoLog = None
4.7120 	EXP 	TextStim: autoDraw = None
5.6832 	EXP 	New trial (rep=0, index=1): {'NumberString': 7}
5.6980 	EXP 	TextStim: autoDraw = None
5.6980 	EXP 	TextStim: autoDraw = None
6.6854 	EXP 	New trial (rep=0, index=2): {'NumberString': 5}
6.7006 	EXP 	TextStim: autoDraw = None
6.7006 	EXP 	TextStim: autoDraw = None
7.6903 	EXP 	New trial (rep=0, index=3): {'NumberString': 3}
7.7033 	EXP 	TextStim: autoDraw = None
7.7033 	EXP 	TextStim: autoDraw = None
8.6911 	EXP 	New trial (rep=0, index=4): {'NumberString': 6}
8.7060 	EXP 	TextStim: autoDraw = None
8.7060 	EXP 	TextStim: autoDraw = None
9.6928 	EXP 	New trial (rep=0, index=5): {'NumberString': 4}
9.7087 	EXP 	TextStim: autoDraw = None
9.7087 	EXP 	TextStim: autoDraw = None
10.6793 	EXP 	New trial (rep=0, index=6): {'NumberString': 8}
10.6946 	EXP 	TextStim: autoDraw = None
10.6946 	EXP 	TextStim: autoDraw = None
11.6827 	EXP 	New trial (rep=0, index=7): {'NumberString': 1}
11.6973 	EXP 	TextStim: autoDraw = None
11.6973 	EXP 	TextStim: autoDraw = None
12.0512 	DATA 	Keypress: space
12.2330 	DATA 	Keypress: space
12.6840 	EXP 	New trial (rep=0, index=8): {'NumberString': 9}
12.7000 	EXP 	TextStim: autoDraw = None
12.7000 	EXP 	TextStim: autoDraw = None
13.6864 	EXP 	New trial (rep=1, index=0): {'NumberString': 5}
13.7027 	EXP 	TextStim: autoDraw = None
13.7027 	EXP 	TextStim: autoDraw = None
14.6891 	EXP 	New trial (rep=1, index=1): {'NumberString': 4}
14.7054 	EXP 	TextStim: autoDraw = None
14.7054 	EXP 	TextStim: autoDraw = None
15.6921 	EXP 	New trial (rep=1, index=2): {'NumberString': 3}
15.7080 	EXP 	TextStim: autoDraw = None
15.7080 	EXP 	TextStim: autoDraw = None
16.6780 	EXP 	New trial (rep=1, index=3): {'NumberString': 6}
16.6940 	EXP 	TextStim: autoDraw = None
16.6940 	EXP 	TextStim: autoDraw = None
17.6807 	EXP 	New trial (rep=1, index=4): {'NumberString': 1}
17.6967 	EXP 	TextStim: autoDraw = None
17.6967 	EXP 	TextStim: autoDraw = None
18.6834 	EXP 	New trial (rep=1, index=5): {'NumberString': 9}
18.6994 	EXP 	TextStim: autoDraw = None
18.6994 	EXP 	TextStim: autoDraw = None
19.6865 	EXP 	New trial (rep=1, index=6): {'NumberString': 2}
19.7027 	EXP 	TextStim: autoDraw = None
19.7027 	EXP 	TextStim: autoDraw = None
20.6894 	EXP 	New trial (rep=1, index=7): {'NumberString': 8}
20.7053 	EXP 	TextStim: autoDraw = None
20.7053 	EXP 	TextStim: autoDraw = None
21.6918 	EXP 	New trial (rep=1, index=8): {'NumberString': 7}
21.7080 	EXP 	TextStim: autoDraw = None
21.7080 	EXP 	TextStim: autoDraw = None
22.6779 	EXP 	New trial (rep=2, index=0): {'NumberString': 2}
22.6940 	EXP 	TextStim: autoDraw = None
22.6940 	EXP 	TextStim: autoDraw = None
23.6807 	EXP 	New trial (rep=2, index=1): {'NumberString': 6}
23.6966 	EXP 	TextStim: autoDraw = None
23.6966 	EXP 	TextStim: autoDraw = None
24.6842 	EXP 	New trial (rep=2, index=2): {'NumberString': 1}
24.6993 	EXP 	TextStim: autoDraw = None
24.6993 	EXP 	TextStim: autoDraw = None
25.6860 	EXP 	New trial (rep=2, index=3): {'NumberString': 3}
25.7020 	EXP 	TextStim: autoDraw = None
25.7020 	EXP 	TextStim: autoDraw = None
26.6891 	EXP 	New trial (rep=2, index=4): {'NumberString': 9}
26.7047 	EXP 	TextStim: autoDraw = None
26.7047 	EXP 	TextStim: autoDraw = None
27.6409 	DATA 	Keypress: escape
